stt,nhom,vai_tro,duong_dan_website,duong_dan_tap_tin,dinh_dang,kich_thuoc_px,dung_luong_kb,trang_thai
27,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/app-grevia-lawn/brand/wordmark.png,public/images/projects/app-grevia-lawn/brand/wordmark.png,PNG,1000 × 256,26,DA_TICH_HOP
28,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/brand/wordmark.svg,public/images/projects/app-grevia-lawn/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
29,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/gioi-thieu-nang-luc/01-man-hinh-mobile-1.webp,public/images/projects/gioi-thieu-nang-luc/01-man-hinh-mobile-1.webp,WEBP,856 × 1852,69,DA_TICH_HOP
30,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/gioi-thieu-nang-luc/02-man-hinh-mobile-2.webp,public/images/projects/gioi-thieu-nang-luc/02-man-hinh-mobile-2.webp,WEBP,856 × 1852,56,DA_TICH_HOP
31,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/gioi-thieu-nang-luc/03-man-hinh-mobile-3.webp,public/images/projects/gioi-thieu-nang-luc/03-man-hinh-mobile-3.webp,WEBP,856 × 1852,59,DA_TICH_HOP
32,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/01-cover-master.png,public/images/projects/nivora-connect/01-cover-master.png,PNG,1672 × 941,2142,MASTER_LUU_TRU
33,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/nivora-connect/01-cover.webp,public/images/projects/nivora-connect/01-cover.webp,WEBP,1920 × 1080,239,DA_TICH_HOP
34,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/02-messaging-master.png,public/images/projects/nivora-connect/02-messaging-master.png,PNG,853 × 1844,793,MASTER_LUU_TRU
35,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/02-messaging.webp,public/images/projects/nivora-connect/02-messaging.webp,WEBP,934 × 2021,43,DA_TICH_HOP
36,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/03-housing-master.png,public/images/projects/nivora-connect/03-housing-master.png,PNG,853 × 1844,990,MASTER_LUU_TRU
37,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/03-housing.webp,public/images/projects/nivora-connect/03-housing.webp,WEBP,934 × 2021,68,DA_TICH_HOP
38,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/04-login-master.png,public/images/projects/nivora-connect/04-login-master.png,PNG,853 × 1844,810,MASTER_LUU_TRU
39,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/04-login.webp,public/images/projects/nivora-connect/04-login.webp,WEBP,934 × 2021,32,DA_TICH_HOP
40,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/05-home-master.png,public/images/projects/nivora-connect/05-home-master.png,PNG,853 × 1844,1084,MASTER_LUU_TRU
41,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/05-home.webp,public/images/projects/nivora-connect/05-home.webp,WEBP,934 × 2021,91,DA_TICH_HOP
42,Dự án và thương hiệu khách hàng,Tệp master,/images/projects/nivora-connect/06-community-master.png,public/images/projects/nivora-connect/06-community-master.png,PNG,853 × 1844,1167,MASTER_LUU_TRU
43,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/06-community.webp,public/images/projects/nivora-connect/06-community.webp,WEBP,934 × 2021,109,DA_TICH_HOP
44,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/brand/nivora-symbol.png,public/images/projects/nivora-connect/brand/nivora-symbol.png,PNG,1024 × 1024,75,DA_TICH_HOP
45,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/nivora-connect/brand/nivora-symbol.svg,public/images/projects/nivora-connect/brand/nivora-symbol.svg,SVG,512 × 512,1,DA_TICH_HOP
46,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/nivora-connect/brand/wordmark.png,public/images/projects/nivora-connect/brand/wordmark.png,PNG,720 × 160,27,DA_TICH_HOP
47,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/01-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/01-anh-collage-showcase.webp,WEBP,798 × 498,9,DA_TICH_HOP
48,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/02-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/02-anh-collage-showcase.webp,WEBP,672 × 1080,14,DA_TICH_HOP
49,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/03-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/03-anh-collage-showcase.webp,WEBP,160 × 160,4,DA_TICH_HOP
50,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/04-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/04-anh-collage-showcase.webp,WEBP,512 × 384,6,DA_TICH_HOP
51,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/05-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/05-anh-collage-showcase.webp,WEBP,512 × 384,6,DA_TICH_HOP
52,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/06-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/06-anh-collage-showcase.webp,WEBP,512 × 384,6,DA_TICH_HOP
53,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/07-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/07-anh-collage-showcase.webp,WEBP,512 × 384,6,DA_TICH_HOP
54,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/08-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/08-anh-collage-showcase.webp,WEBP,1024 × 695,12,DA_TICH_HOP
55,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/09-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/09-anh-collage-showcase.webp,WEBP,512 × 384,7,DA_TICH_HOP
56,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/10-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/10-anh-collage-showcase.webp,WEBP,512 × 384,7,DA_TICH_HOP
57,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/11-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/11-anh-collage-showcase.webp,WEBP,512 × 384,7,DA_TICH_HOP
58,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/12-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/12-anh-collage-showcase.webp,WEBP,512 × 384,7,DA_TICH_HOP
59,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/13-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/13-anh-collage-showcase.webp,WEBP,1000 × 1000,17,DA_TICH_HOP
60,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/14-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/14-anh-collage-showcase.webp,WEBP,1000 × 1000,17,DA_TICH_HOP
61,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/showcase-tong-hop/15-anh-collage-showcase.webp,public/images/projects/showcase-tong-hop/15-anh-collage-showcase.webp,WEBP,1000 × 1000,17,DA_TICH_HOP
